Ticker,Name,Sector,Mean%,Median%,Std%,Min%,Max%,Positive_Days,Negative_Days,Win_Rate%
BE,Bloom Energy,NewEnergy,1.3051,1.1314,6.6706,-18.28,27.21,139,110,55.6
MU,Micron,Chip,0.9417,0.5401,3.9197,-10.87,15.49,145,105,58.0
INTC,Intel,Chip,0.8039,0.2144,4.465,-17.03,23.6,132,117,52.8
PLUG,Plug Power,NewEnergy,0.7825,-0.4763,7.1066,-16.79,34.63,111,131,44.4
AMD,AMD,Chip,0.6588,0.2545,4.0382,-17.31,23.71,139,111,55.6
SEDG,SolarEdge,NewEnergy,0.5256,0.2737,6.4822,-33.44,28.91,131,118,52.4
MRVL,Marvell,Chip,0.4564,0.2234,3.6161,-18.59,18.36,133,116,53.2
^SOX,PHLX_Semiconductor,Index,0.3926,0.4463,2.0613,-6.32,6.34,151,99,60.4
RUN,Sunrun,NewEnergy,0.3858,0.0803,7.1476,-40.04,32.82,125,124,50.0
GOOGL,Google,AI,0.3772,0.2209,1.827,-3.85,9.96,138,112,55.2
TSM,TSMC,Chip,0.3383,0.3299,2.2108,-6.41,7.92,134,115,53.6
ASML,ASML,Chip,0.3285,0.4214,2.4851,-8.33,8.78,142,108,56.8
AVGO,Broadcom,Chip,0.3025,0.168,2.6684,-11.43,11.1,139,111,55.6
ARM,Arm Holdings,Chip,0.2785,0.1866,3.6474,-13.43,16.38,130,120,52.0
^VIX,VIX,Index,0.2702,-0.5157,7.4582,-18.39,31.83,116,133,46.4
NVDA,NVIDIA,AI,0.2546,0.3064,2.1366,-5.46,7.87,138,112,55.2
FSLR,First Solar,NewEnergy,0.2314,0.0327,3.788,-17.89,22.66,126,124,50.4
TXN,Texas Instruments,Chip,0.2251,0.043,2.4149,-13.34,19.43,130,117,52.0
NIO,NIO,NewEnergy,0.2202,0.0,3.8505,-10.05,15.38,122,122,48.8
QCOM,Qualcomm,Chip,0.2181,0.0859,2.5017,-8.46,15.12,133,117,53.2
TSLA,Tesla,NewEnergy,0.1777,0.1327,2.9519,-14.26,8.23,133,117,53.2
ORCL,Oracle,AI,0.1592,0.1596,3.9226,-10.83,35.95,128,122,51.2
NEE,NextEra Energy,NewEnergy,0.147,0.1365,1.5492,-6.42,6.94,138,110,55.2
^IXIC,NASDAQ,Index,0.1412,0.2181,1.0312,-3.56,3.83,151,99,60.4
^RUT,Russell2000,Index,0.1338,0.1907,1.2053,-3.01,3.86,139,111,55.6
SMCI,Super Micro Computer,AI,0.1312,-0.16,5.0453,-33.32,24.54,120,129,48.0
AMZN,Amazon,AI,0.119,0.1908,1.8666,-8.27,9.58,140,110,56.0
PLTR,Palantir,AI,0.1094,0.2097,3.2009,-11.62,8.81,137,113,54.8
^GSPC,SP500,Index,0.098,0.1056,0.7617,-2.71,2.91,143,107,57.2
^DJI,DowJones,Index,0.0665,0.0714,0.7743,-1.91,2.85,132,118,52.8
RIVN,Rivian,NewEnergy,0.0582,-0.3265,3.9546,-8.41,26.64,114,134,45.6
ENPH,Enphase Energy,NewEnergy,0.0285,-0.1004,5.0608,-23.97,38.6,122,128,48.8
META,Meta,AI,-0.0009,-0.0029,2.1991,-11.33,11.25,125,125,50.0
SNOW,Snowflake,AI,-0.0149,0.0874,3.3491,-11.83,20.27,131,119,52.4
IBM,IBM,AI,-0.0184,0.1013,2.085,-13.15,7.88,136,114,54.4
MSFT,Microsoft,AI,-0.0198,0.044,1.4845,-9.99,4.61,129,121,51.6
XPEV,XPeng,NewEnergy,-0.0439,-0.1079,3.5842,-10.32,16.15,119,129,47.6
LI,Li Auto,NewEnergy,-0.1348,-0.2576,2.3875,-8.32,7.96,110,138,44.0
CRM,Salesforce,AI,-0.1675,0.0287,2.1883,-8.69,5.3,126,124,50.4
AI,C3.ai,AI,-0.2815,-0.2105,4.2585,-25.58,20.76,114,133,45.6
LCID,Lucid,NewEnergy,-0.4725,-0.8823,4.8897,-10.81,36.24,99,147,39.6
