Ticker,Name,Sector,Records,Start,End,File
NVDA,NVIDIA,AI,251,2025-05-12,2026-05-11,NVDA.csv
MSFT,Microsoft,AI,251,2025-05-12,2026-05-11,MSFT.csv
GOOGL,Google,AI,251,2025-05-12,2026-05-11,GOOGL.csv
META,Meta,AI,251,2025-05-12,2026-05-11,META.csv
AMZN,Amazon,AI,251,2025-05-12,2026-05-11,AMZN.csv
CRM,Salesforce,AI,251,2025-05-12,2026-05-11,CRM.csv
PLTR,Palantir,AI,251,2025-05-12,2026-05-11,PLTR.csv
AI,C3.ai,AI,251,2025-05-12,2026-05-11,AI.csv
SNOW,Snowflake,AI,251,2025-05-12,2026-05-11,SNOW.csv
IBM,IBM,AI,251,2025-05-12,2026-05-11,IBM.csv
SMCI,Super Micro Computer,AI,251,2025-05-12,2026-05-11,SMCI.csv
ORCL,Oracle,AI,251,2025-05-12,2026-05-11,ORCL.csv
AMD,AMD,Chip,251,2025-05-12,2026-05-11,AMD.csv
INTC,Intel,Chip,251,2025-05-12,2026-05-11,INTC.csv
TSM,TSMC,Chip,251,2025-05-12,2026-05-11,TSM.csv
AVGO,Broadcom,Chip,251,2025-05-12,2026-05-11,AVGO.csv
QCOM,Qualcomm,Chip,251,2025-05-12,2026-05-11,QCOM.csv
TXN,Texas Instruments,Chip,251,2025-05-12,2026-05-11,TXN.csv
MU,Micron,Chip,251,2025-05-12,2026-05-11,MU.csv
MRVL,Marvell,Chip,251,2025-05-12,2026-05-11,MRVL.csv
ARM,Arm Holdings,Chip,251,2025-05-12,2026-05-11,ARM.csv
ASML,ASML,Chip,251,2025-05-12,2026-05-11,ASML.csv
TSLA,Tesla,NewEnergy,251,2025-05-12,2026-05-11,TSLA.csv
ENPH,Enphase Energy,NewEnergy,251,2025-05-12,2026-05-11,ENPH.csv
SEDG,SolarEdge,NewEnergy,251,2025-05-12,2026-05-11,SEDG.csv
FSLR,First Solar,NewEnergy,251,2025-05-12,2026-05-11,FSLR.csv
RUN,Sunrun,NewEnergy,251,2025-05-12,2026-05-11,RUN.csv
PLUG,Plug Power,NewEnergy,251,2025-05-12,2026-05-11,PLUG.csv
BE,Bloom Energy,NewEnergy,251,2025-05-12,2026-05-11,BE.csv
NEE,NextEra Energy,NewEnergy,251,2025-05-12,2026-05-11,NEE.csv
RIVN,Rivian,NewEnergy,251,2025-05-12,2026-05-11,RIVN.csv
LCID,Lucid,NewEnergy,251,2025-05-12,2026-05-11,LCID.csv
NIO,NIO,NewEnergy,251,2025-05-12,2026-05-11,NIO.csv
LI,Li Auto,NewEnergy,251,2025-05-12,2026-05-11,LI.csv
XPEV,XPeng,NewEnergy,251,2025-05-12,2026-05-11,XPEV.csv
^GSPC,SP500,Index,251,2025-05-12,2026-05-11,GSPC.csv
^IXIC,NASDAQ,Index,251,2025-05-12,2026-05-11,IXIC.csv
^DJI,DowJones,Index,251,2025-05-12,2026-05-11,DJI.csv
^RUT,Russell2000,Index,251,2025-05-12,2026-05-11,RUT.csv
^VIX,VIX,Index,251,2025-05-12,2026-05-11,VIX.csv
^SOX,PHLX_Semiconductor,Index,251,2025-05-12,2026-05-11,SOX.csv
